"idTipoIdentificacion";"abreviatura";"descripcion"
"1";"CC";"cedula de ciudadania"
"2";"TI";"tarjeta de identidad"
"3";"NUI";"Numero Unico de Identificacion"
"4";"RC";"Registro civil"
"5";"PS";"Pasaporte"
